Statements,True_Results,Predicted_Results,Error
Health care reform legislation is likely to mandate free sex change surgeries.,FAKE,REAL,False Positive
Jim Dunnam has not lived in the district he represents for years now.,FAKE,REAL,False Positive
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",REAL,FAKE,False Negative
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,REAL,FAKE,False Negative
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",FAKE,REAL,False Positive
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",REAL,FAKE,False Negative
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,FAKE,REAL,False Positive
We just had the best year for the auto industry in America in history.,REAL,FAKE,False Negative
Says Mitt Romney wants to get rid of Planned Parenthood.,FAKE,REAL,False Positive
Says Paul Ryan is still endorsing Trump.,REAL,FAKE,False Negative
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,FAKE,REAL,False Positive
Says Mark Pryor votes with Obama 93 percent of the time.,REAL,FAKE,False Negative
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",REAL,FAKE,False Negative
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,FAKE,REAL,False Positive
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,REAL,FAKE,False Negative
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,FAKE,REAL,False Positive
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,FAKE,REAL,False Positive
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,REAL,FAKE,False Negative
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",FAKE,REAL,False Positive
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",REAL,FAKE,False Negative
"We have towns in West Texas that are out of water, that are having to truck in water.",FAKE,REAL,False Positive
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",FAKE,REAL,False Positive
Sen. Obama's campaign announced that he's choosing his cabinet.,FAKE,REAL,False Positive
Only 2 percent of public high schools in the country offer PE classes.,FAKE,REAL,False Positive
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",REAL,FAKE,False Negative
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,FAKE,REAL,False Positive
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",REAL,FAKE,False Negative
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,FAKE,REAL,False Positive
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,FAKE,REAL,False Positive
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",FAKE,REAL,False Positive
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",REAL,FAKE,False Negative
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,FAKE,REAL,False Positive
Says one out of three U.S. homeless men is a veteran.,FAKE,REAL,False Positive
Says Charlie Crist supports cuts to the Medicare Advantage program.,FAKE,REAL,False Positive
"In the past 20 years, Egypt has made great strides in political and democratic reform.",FAKE,REAL,False Positive
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,FAKE,REAL,False Positive
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,REAL,FAKE,False Negative
"In Rick Perrys Texas, we import nurses ... from other countries.",REAL,FAKE,False Negative
There is a federal criminal law that says its a crime to transport dentures across state lines.,REAL,FAKE,False Negative
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,FAKE,REAL,False Positive
I belong to the AFL-CIO.,REAL,FAKE,False Negative
The insurance commissioner cant do squat about health care.,REAL,FAKE,False Negative
Says David Jolly supports privatizing Social Security.,FAKE,REAL,False Positive
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",REAL,FAKE,False Negative
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,FAKE,REAL,False Positive
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",FAKE,REAL,False Positive
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",REAL,FAKE,False Negative
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",REAL,FAKE,False Negative
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",REAL,FAKE,False Negative
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,REAL,FAKE,False Negative
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",FAKE,REAL,False Positive
"About half of the presidents have been governors; half of them, senators.",FAKE,REAL,False Positive
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,REAL,FAKE,False Negative
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,FAKE,REAL,False Positive
Some neighborhood schools are closing.,REAL,FAKE,False Negative
